ID	Name	Formula	Compartment	CompartmentName	Boundary	LigandCompound	MetaCyc	ModelSeed	ChEBI
M_r395	3-Oxododecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r396	3-Oxodecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r33	3-Oxohexanoyl-CoA		C_1	Cytoplasm	false				
M_r34	3-Oxohexadecanoyl-CoA		C_1	Cytoplasm	false				
M_r397	3-Oxohexanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r398	3-Oxotetradecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r36	3-Oxooctanoyl-CoA		C_1	Cytoplasm	false				
M_r399	3-Oxooctanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r400	3-Oxooctadecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r402	3-Oxohexadecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r37	3-Oxotetradecanoyl-CoA		C_1	Cytoplasm	false				
M_r187	3-phenylpropionate		C_3	External	true				
M_r271	3-phenylpropionate		C_3	External	true				
M_r610	3-phenylpropionate		C_1	Cytoplasm	false				
M_r611	3-phenylpropionate		C_2	Extracellular	false				
M_r612	3-phosphoglycerate		C_1	Cytoplasm	false				
M_r613	3-phospho-hydroxypyruvate		C_1	Cytoplasm	false				
M_r615	3-phospho-serine		C_1	Cytoplasm	false				
M_r616	3-sulfinoalanine		C_1	Cytoplasm	false				
M_r617	3-sulfinyl-pyruvate		C_1	Cytoplasm	false				
M_r618	3-ureidopropionate		C_1	Cytoplasm	false				
M_r620	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol		C_1	Cytoplasm	false				
M_r621	4-(phosphonooxy)-threonine		C_1	Cytoplasm	false				
M_r622	4,5-dioxo-3alpha,4,5,6,7,8,9,9beta-octahydro-1H pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate		C_1	Cytoplasm	false				
M_r623	4-amino-4-deoxychorismate		C_1	Cytoplasm	false				
M_r624	4-amino-5-hydroxymethyl-2-methylpyrimidine-pyrophosphate		C_1	Cytoplasm	false				
M_r91	4-aminobutyrate		C_3	External	true				
M_r197	4-aminobutyrate		C_3	External	true				
M_r626	4-aminobutyrate		C_1	Cytoplasm	false				
M_r627	4-aminobutyrate		C_2	Extracellular	false				
M_r629	4-carboxy-2-oxo-3-hexenedioate		C_1	Cytoplasm	false				
M_r630	4-carboxy-4-hydroxy-2-oxoadipate		C_1	Cytoplasm	false				
M_r631	4-carboxyaminoimidazole ribonucleotide		C_1	Cytoplasm	false				
M_r632	4-carboxymethylenebut-2-en-4-olide		C_1	Cytoplasm	false				
M_r633	4-fumaryl-acetoacetate		C_1	Cytoplasm	false				
M_r52	4-guanidinobutanal		C_1	Cytoplasm	false				
M_r53	4-guanidinobutanoate		C_1	Cytoplasm	false				
M_r634	4-hydroxy-2-ketopimelate		C_1	Cytoplasm	false				
M_r635	4-hydroxy-2-ketovalerate		C_1	Cytoplasm	false				
M_r637	4-hydroxybenzaldehyde		C_1	Cytoplasm	false				
M_r638	4-hydroxybenzyl alcohol		C_1	Cytoplasm	false				
M_r640	4-imidazolone-5-propionate		C_1	Cytoplasm	false				
M_r641	4-maleyl-acetoacetate		C_1	Cytoplasm	false				
M_r643	4-methyl-5-(beta-hydroxyethyl)thiazole phosphate		C_1	Cytoplasm	false				
M_r644	4-oxohex-2-enedioate		C_1	Cytoplasm	false				
M_r646	5,10-methenyl-THF		C_1	Cytoplasm	false				
M_r649	5,10-methylene-THF		C_1	Cytoplasm	false				
M_r650	5',5'''-diadenosine tetraphosphate		C_1	Cytoplasm	false				
M_r652	5-amino-6-(5'-phosphoribitylamino)uracil		C_1	Cytoplasm	false				
M_r653	5-amino-6-(5'-phosphoribosylamino)uracil		C_1	Cytoplasm	false				
M_r654	5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione		C_1	Cytoplasm	false				
M_r655	5-aminoimidazole ribonucleotide		C_1	Cytoplasm	false				
M_r656	5-amino-levulinate		C_1	Cytoplasm	false				
M_r44	5-aminopentanamide		C_1	Cytoplasm	false				
M_r45	5-aminopentanoate		C_1	Cytoplasm	false				
M_r657	5-carboxy-2-oxohept-3-enedioate		C_1	Cytoplasm	false				
