ReactionID,Desctiption,Reversible,Virtual,Origin,Destination,Location (interface),SBO_key
R128_cr,Transport of GDP-mannose,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R129_cn,Transport of L-Cysteine,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R130_cr,Transport of IDP,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R131_cl,Transport of IDP,NO,NO,cytosol,lysosome,lysosomal membrane,SBO:0000185
R132_cn,Transport of CDP,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R133_cm,Transport of L-Histidine,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R134_cr,Transport of L-Proline,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R135_ce,Transport of L-Amino acid,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R136_ce,Transport of Nicotinamide,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R137_cl,Transport of Maltose,NO,NO,cytosol,lysosome,lysosomal membrane,SBO:0000185
R138_ce,Transport of Sarcosine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R139_pc,Transport of Dimethylallyl diphosphate,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R140_ce,Transport of dCMP,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R141_cm,Transport of dCMP,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R142_ce,Transport of Nicotinate,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R143_ce,Transport of D-Erythrose 4-phosphate,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R144_cn,Transport of Thioredoxin,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R145_ce,Transport of Tryptamine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R146_mc,Transport of 5-Aminolevulinate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R147_mc,Transport of N-Acetylornithine,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R148_ce,Transport of dTTP,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R149_ce,Transport of Retinol,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R150_ce,Transport of Tyramine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R151_ce,Transport of L-Cystine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R152_cn,Transport of Oleoyl-CoA,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R153_cm,Transport of Deoxyuridine,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R154_cn,Transport of Choline phosphate,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R155_cp,Transport of 3-Hydroxyanthranilate,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R156_cr,Transport of Indole-3-acetaldehyde,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R157_cm,Transport of Indole-3-acetaldehyde,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R158_cp,Transport of Indole-3-acetaldehyde,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R159_ce,Transport of Xanthosine 5'-phosphate,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R160_cr,Transport of 1-Acyl-sn-glycerol 3-phosphate,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R161_cn,Transport of Deoxycytidine,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R162_ce,Transport of Dephospho-CoA,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R163_cp,Transport of (R)-5-Diphosphomevalonate,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R164_cr,Transport of beta-D-Glucose 6-phosphate,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R165_ec,Transport of Acetylcholine,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R166_cn,Transport of Trypanothione,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R167_ce,Transport of R-S-Glutathione,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R168_cp,Transport of 6-Mercaptopurine,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R169_cm,Transport of Coproporphyrinogen III,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R170_ci,Transport of Coproporphyrinogen III,NO,NO,cytosol,mitochondrial intermembrane space,mitochondrial outer membrane,SBO:0000185
R171_pc,Transport of 2-Methylacetoacetyl-CoA,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R172_cm,Transport of 2-Methylbut-2-enoyl-CoA,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R173_pc,Transport of 2-Methylbut-2-enoyl-CoA,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R174_cm,Transport of 2-Methylprop-2-enoyl-CoA,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R175_pc,Transport of 2-Methylprop-2-enoyl-CoA,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R176_cm,Transport of Folinic acid,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R177_cg,Transport of myo-Inositol 4-phosphate,NO,NO,cytosol,Golgi,Golgi membrane,SBO:0000185
R178_cm,Transport of Acetyl-[acyl-carrier protein],NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R179_cg,Transport of 1D-myo-Inositol 3-phosphate,NO,NO,cytosol,Golgi,Golgi membrane,SBO:0000185
R180_cr,Transport of Imidazole-4-acetaldehyde,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R181_cm,Transport of Imidazole-4-acetaldehyde,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R182_cp,Transport of Imidazole-4-acetaldehyde,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R183_ce,Transport of Phenethylamine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R184_cm,Transport of L-Selenomethionine,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R185_cr,Transport of 5-Hydroxyindoleacetaldehyde,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R186_cm,Transport of 5-Hydroxyindoleacetaldehyde,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R187_cp,Transport of 5-Hydroxyindoleacetaldehyde,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R188_cr,Transport of 3-Aminopropanal,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
